risk_rank,layer,head,count,mean,max,sum
285,0,15,0.0,0.0,0.0,0.0
286,0,16,0.0,0.0,0.0,0.0
287,0,17,0.0,0.0,0.0,0.0
288,0,18,0.0,0.0,0.0,0.0
289,0,19,0.0,0.0,0.0,0.0
290,0,21,0.0,0.0,0.0,0.0
291,0,22,0.0,0.0,0.0,0.0
292,0,23,0.0,0.0,0.0,0.0
293,1,0,0.0,0.0,0.0,0.0
294,1,1,0.0,0.0,0.0,0.0
295,1,2,0.0,0.0,0.0,0.0
296,1,3,0.0,0.0,0.0,0.0
297,1,4,0.0,0.0,0.0,0.0
298,1,5,0.0,0.0,0.0,0.0
299,1,6,0.0,0.0,0.0,0.0
300,1,7,0.0,0.0,0.0,0.0
301,1,8,0.0,0.0,0.0,0.0
302,1,9,0.0,0.0,0.0,0.0
303,1,10,0.0,0.0,0.0,0.0
304,1,11,0.0,0.0,0.0,0.0
305,1,12,0.0,0.0,0.0,0.0
306,1,14,0.0,0.0,0.0,0.0
307,1,15,0.0,0.0,0.0,0.0
308,1,17,0.0,0.0,0.0,0.0
309,1,18,0.0,0.0,0.0,0.0
310,1,19,0.0,0.0,0.0,0.0
311,1,21,0.0,0.0,0.0,0.0
312,1,22,0.0,0.0,0.0,0.0
313,1,23,0.0,0.0,0.0,0.0
314,2,0,0.0,0.0,0.0,0.0
315,2,1,0.0,0.0,0.0,0.0
316,2,2,0.0,0.0,0.0,0.0
317,2,3,0.0,0.0,0.0,0.0
318,2,6,0.0,0.0,0.0,0.0
319,2,7,0.0,0.0,0.0,0.0
320,2,8,0.0,0.0,0.0,0.0
321,2,9,0.0,0.0,0.0,0.0
322,2,10,0.0,0.0,0.0,0.0
323,2,11,0.0,0.0,0.0,0.0
324,2,12,0.0,0.0,0.0,0.0
325,2,13,0.0,0.0,0.0,0.0
326,2,14,0.0,0.0,0.0,0.0
327,2,15,0.0,0.0,0.0,0.0
328,2,17,0.0,0.0,0.0,0.0
329,2,19,0.0,0.0,0.0,0.0
330,2,21,0.0,0.0,0.0,0.0
331,2,22,0.0,0.0,0.0,0.0
332,2,23,0.0,0.0,0.0,0.0
333,3,0,0.0,0.0,0.0,0.0
334,3,1,0.0,0.0,0.0,0.0
335,3,2,0.0,0.0,0.0,0.0
336,3,4,0.0,0.0,0.0,0.0
337,3,6,0.0,0.0,0.0,0.0
338,3,7,0.0,0.0,0.0,0.0
339,3,9,0.0,0.0,0.0,0.0
340,3,10,0.0,0.0,0.0,0.0
341,3,12,0.0,0.0,0.0,0.0
342,3,13,0.0,0.0,0.0,0.0
343,3,15,0.0,0.0,0.0,0.0
344,3,17,0.0,0.0,0.0,0.0
345,3,18,0.0,0.0,0.0,0.0
346,3,19,0.0,0.0,0.0,0.0
347,3,22,0.0,0.0,0.0,0.0
348,3,23,0.0,0.0,0.0,0.0
349,4,0,0.0,0.0,0.0,0.0
350,4,1,0.0,0.0,0.0,0.0
351,4,3,0.0,0.0,0.0,0.0
352,4,4,0.0,0.0,0.0,0.0
353,4,5,0.0,0.0,0.0,0.0
354,4,6,0.0,0.0,0.0,0.0
355,4,7,0.0,0.0,0.0,0.0
356,4,10,0.0,0.0,0.0,0.0
357,4,11,0.0,0.0,0.0,0.0
358,4,13,0.0,0.0,0.0,0.0
359,4,15,0.0,0.0,0.0,0.0
360,4,16,0.0,0.0,0.0,0.0
361,4,17,0.0,0.0,0.0,0.0
362,4,18,0.0,0.0,0.0,0.0
363,4,20,0.0,0.0,0.0,0.0
364,4,21,0.0,0.0,0.0,0.0
365,4,22,0.0,0.0,0.0,0.0
366,4,23,0.0,0.0,0.0,0.0
367,5,0,0.0,0.0,0.0,0.0
368,5,1,0.0,0.0,0.0,0.0
369,5,3,0.0,0.0,0.0,0.0
370,5,5,0.0,0.0,0.0,0.0
371,5,6,0.0,0.0,0.0,0.0
372,5,7,0.0,0.0,0.0,0.0
373,5,8,0.0,0.0,0.0,0.0
374,5,9,0.0,0.0,0.0,0.0
375,5,10,0.0,0.0,0.0,0.0
376,5,11,0.0,0.0,0.0,0.0
377,5,15,0.0,0.0,0.0,0.0
378,5,16,0.0,0.0,0.0,0.0
379,5,17,0.0,0.0,0.0,0.0
380,5,18,0.0,0.0,0.0,0.0
381,5,19,0.0,0.0,0.0,0.0
382,5,20,0.0,0.0,0.0,0.0
383,5,21,0.0,0.0,0.0,0.0
384,5,22,0.0,0.0,0.0,0.0
385,5,23,0.0,0.0,0.0,0.0
386,6,4,0.0,0.0,0.0,0.0
387,6,5,0.0,0.0,0.0,0.0
388,6,6,0.0,0.0,0.0,0.0
389,6,10,0.0,0.0,0.0,0.0
390,6,13,0.0,0.0,0.0,0.0
391,6,15,0.0,0.0,0.0,0.0
392,6,16,0.0,0.0,0.0,0.0
393,6,18,0.0,0.0,0.0,0.0
394,6,20,0.0,0.0,0.0,0.0
395,6,21,0.0,0.0,0.0,0.0
396,6,22,0.0,0.0,0.0,0.0
397,6,23,0.0,0.0,0.0,0.0
398,7,0,0.0,0.0,0.0,0.0
399,7,1,0.0,0.0,0.0,0.0
400,7,2,0.0,0.0,0.0,0.0
401,7,3,0.0,0.0,0.0,0.0
402,7,4,0.0,0.0,0.0,0.0
403,7,5,0.0,0.0,0.0,0.0
404,7,7,0.0,0.0,0.0,0.0
405,7,8,0.0,0.0,0.0,0.0
406,7,10,0.0,0.0,0.0,0.0
407,7,11,0.0,0.0,0.0,0.0
408,7,13,0.0,0.0,0.0,0.0
409,7,14,0.0,0.0,0.0,0.0
410,7,15,0.0,0.0,0.0,0.0
411,7,17,0.0,0.0,0.0,0.0
412,7,18,0.0,0.0,0.0,0.0
413,7,19,0.0,0.0,0.0,0.0
414,7,21,0.0,0.0,0.0,0.0
415,7,22,0.0,0.0,0.0,0.0
416,7,23,0.0,0.0,0.0,0.0
417,8,0,0.0,0.0,0.0,0.0
418,8,1,0.0,0.0,0.0,0.0
419,8,2,0.0,0.0,0.0,0.0
420,8,3,0.0,0.0,0.0,0.0
421,8,4,0.0,0.0,0.0,0.0
422,8,5,0.0,0.0,0.0,0.0
423,8,6,0.0,0.0,0.0,0.0
424,8,8,0.0,0.0,0.0,0.0
425,8,9,0.0,0.0,0.0,0.0
426,8,12,0.0,0.0,0.0,0.0
427,8,16,0.0,0.0,0.0,0.0
428,8,18,0.0,0.0,0.0,0.0
429,8,19,0.0,0.0,0.0,0.0
430,8,21,0.0,0.0,0.0,0.0
431,8,22,0.0,0.0,0.0,0.0
432,8,23,0.0,0.0,0.0,0.0
433,9,1,0.0,0.0,0.0,0.0
434,9,2,0.0,0.0,0.0,0.0
435,9,3,0.0,0.0,0.0,0.0
436,9,4,0.0,0.0,0.0,0.0
437,9,5,0.0,0.0,0.0,0.0
438,9,6,0.0,0.0,0.0,0.0
439,9,8,0.0,0.0,0.0,0.0
440,9,9,0.0,0.0,0.0,0.0
441,9,10,0.0,0.0,0.0,0.0
442,9,11,0.0,0.0,0.0,0.0
443,9,12,0.0,0.0,0.0,0.0
444,9,13,0.0,0.0,0.0,0.0
445,9,14,0.0,0.0,0.0,0.0
446,9,15,0.0,0.0,0.0,0.0
447,9,16,0.0,0.0,0.0,0.0
448,9,17,0.0,0.0,0.0,0.0
449,9,20,0.0,0.0,0.0,0.0
